"","iso_code","continent","location","인구수","전체사망자수","백신접종자완료자수","인구백명당백신접종완료율","인구백명당부스터접종자수","십만명당사망자수","백신접종완료율"
"1","ABW","North America","Aruba",106459,340,84017,78.92,-Inf,319.37178,0.78919584065227
"2","AFG","Asia","Afghanistan",41128772,7854,10825004,26.32,-Inf,19.09612,0.263197841160927
"3","AGO","Africa","Angola",35588996,1933,8253873,23.19,4.09,5.43145,0.231922052535565
"4","AIA","North America","Anguilla",15877,13,10377,65.36,20.43,81.87945,0.653586949675631
"5","ALB","Europe","Albania",2842318,3596,1270016,44.68,13.27,126.51646,0.446824035874944
"6","AND","Europe","Andorra",79843,167,53485,66.99,53.83,209.16048,0.66987713387523
"7","ARE","Asia","United Arab Emirates",9441138,2348,9792266,103.72,54.43,24.86988,1.03719127927163
"8","ARG","South America","Argentina",45510324,130249,37930627,83.35,75.25,286.1966,0.833451042888642
"9","ARM","Asia","Armenia",2780472,8718,985807,35.45,1.46,313.54389,0.35454663812475
"10","ATG","North America","Antigua and Barbuda",93772,146,62384,66.53,10.49,155.6968,0.665273215885339
"11","AUS","Oceania","Australia",26177410,17066,21655301,82.73,75.34,65.19362,0.827251473694304
"12","AUT","Europe","Austria",8939617,21641,6822860,76.32,75.33,242.07972,0.763216142257549
"13","AZE","Asia","Azerbaijan",10358078,10033,4862494,46.94,32.46,96.8616,0.469439793753243
"14","BDI","Africa","Burundi",12889583,38,27957,0.22,0,0.29481,0.00216896078018971
"15","BEL","Europe","Belgium",11655923,33512,9167087,78.65,99.46,287.51048,0.786474567479555
"16","BEN","Africa","Benin",13352864,163,2742837,20.54,-Inf,1.22071,0.205411887666945
"17","BES","North America","Bonaire Sint Eustatius and Saba",27052,43,16736,61.87,-Inf,158.95313,0.618660357829366
"18","BFA","Africa","Burkina Faso",22673764,396,3335753,14.71,-Inf,1.74651,0.147119507815288
"19","BGD","Asia","Bangladesh",171186368,29441,128991652,75.35,38.24,17.19822,0.753515910799626
"20","BGR","Europe","Bulgaria",6781955,38135,2075095,30.6,11.33,562.30099,0.305972982716636
"21","BHR","Asia","Bahrain",1472237,1539,1226796,83.33,68.51,104.5348,0.833287031911302
"22","BHS","North America","Bahamas",409989,833,165633,40.4,8.94,203.17618,0.403993765686396
"23","BIH","Europe","Bosnia and Herzegovina",3233530,16261,846080,26.17,3.73,502.88694,0.261658311504764
"24","BLR","Europe","Belarus",9534956,7118,6403134,67.15,48.38,74.65163,0.671543109375649
"25","BLZ","North America","Belize",405285,692,221283,54.6,12.61,170.74404,0.545993560087346
"26","BMU","North America","Bermuda",64207,155,47657,74.22,55.81,241.4067,0.742239942685377
"27","BOL","South America","Bolivia",12224114,22324,6160585,50.4,17.73,182.62264,0.503969858265393
"28","BRA","South America","Brazil",215313504,695171,175284167,81.41,57.58,322.86456,0.814088126121435
"29","BRB","North America","Barbados",281646,569,155010,55.04,22.07,202.02666,0.550371743252168
"30","BRN","Asia","Brunei",449002,225,445929,99.32,75.5,50.11114,0.993155932490278
"31","BTN","Asia","Bhutan",782457,21,677669,86.61,81.11,2.68385,0.866078263725674
"32","BWA","Africa","Botswana",2630300,2877,1426050,54.22,18.99,109.37916,0.542162490970612
"33","CAF","Africa","Central African Republic",5579148,113,1934575,34.68,3.84,2.0254,0.346750973446125
"34","CAN","North America","Canada",38454328,50154,31736582,82.53,78.08,130.42485,0.825305853739012
"35","CHE","Europe","Switzerland",8740471,14353,6011725,68.78,55.46,164.21312,0.687803323184757
"36","CHL","South America","Chile",19603736,51095,17696343,90.27,139.9,260.63909,0.902702576692524
"37","CHN","Asia","China",1425887360,4365,1274018000,89.35,57.21,0.30613,0.893491334406667
"38","CIV","Africa","Cote d'Ivoire",28160548,833,11660147,41.41,7.21,2.95804,0.414059662475318
"39","CMR","Africa","Cameroon",27914542,1965,3110433,11.14,1.62,7.03934,0.111426975946802
"40","COD","Africa","Democratic Republic of Congo",99010216,1462,6756571,6.82,-Inf,1.47662,0.0682411499839572
"41","COG","Africa","Congo",5970430,417,654119,10.96,-Inf,6.98442,0.109559780451324
"42","COK","Oceania","Cook Islands",17032,1,14715,86.4,59.94,5.8713,0.863961953969
"43","COL","South America","Colombia",51874028,141959,36919986,71.17,28.17,273.66103,0.711723909313539
"44","COM","Africa","Comoros",836783,163,397080,47.45,-Inf,19.47936,0.474531628869133
"45","CPV","Africa","Cape Verde",593162,413,308720,52.05,0.13,69.62685,0.520464898290855
"46","CRI","North America","Costa Rica",5180836,9108,4300356,83.01,53.87,175.80174,0.830050594151214
"47","CUB","North America","Cuba",11212198,8531,10004639,89.23,77.4,76.08678,0.892299529494574
"48","CUW","North America","Curacao",191173,299,99955,52.29,24.83,156.40284,0.522851030218702
"49","CYM","North America","Cayman Islands",68722,38,60539,88.09,35.02,55.29525,0.880926049882134
"50","CYP","Europe","Cyprus",896007,1262,646021,72.1,53.63,140.84711,0.720999947545053
"51","CZE","Europe","Czechia",10493990,42259,6892097,65.68,48.98,402.69716,0.656766110888232
"52","DEU","Europe","Germany",83369840,163434,63539326,76.21,77.29,196.03492,0.762138034569816
"53","DJI","Africa","Djibouti",1120851,189,297060,26.5,-Inf,16.86219,0.265030766801297
"54","DMA","North America","Dominica",72758,74,30659,42.14,5.49,101.70703,0.421383215591413
"55","DNK","Europe","Denmark",5882259,7906,4759098,80.91,62.19,134.40415,0.809059580681504
"56","DOM","North America","Dominican Republic",11228821,4384,6072912,54.08,22.41,39.04239,0.540832559357746
"57","DZA","Africa","Algeria",44903228,6881,6481186,14.43,1.28,15.32407,0.144336750132975
"58","ECU","South America","Ecuador",18001002,23302,14217512,78.98,57.55,129.44835,0.789817811252951
"59","EGY","Africa","Egypt",110990096,24803,40103177,36.13,8.98,22.34704,0.361322121930591
"60","ERI","Africa","Eritrea",3684041,103,-Inf,-Inf,-Inf,2.79584,-Inf
"61","ESH","Africa","Western Sahara",576005,0,-Inf,-Inf,-Inf,0,-Inf
"62","ESP","Europe","Spain",47558632,118416,40657640,85.49,54.67,248.9895,0.854895069311497
"63","EST","Europe","Estonia",1326064,2894,848240,63.97,44.66,218.23984,0.639667467030249
"64","ETH","Africa","Ethiopia",123379928,7572,36707357,29.75,1.96,6.13714,0.297514819428327
"65","FIN","Europe","Finland",5540745,8079,4347467,78.46,77.4,145.81072,0.784635820634229
"66","FJI","Oceania","Fiji",929769,885,640632,68.9,18.34,95.18493,0.689022757265514
"67","FLK","South America","Falkland Islands",3801,0,1775,46.7,-Inf,0,0.466982373059721
"68","FRA","Europe","France",67813000,163649,53141524,78.36,69.34,241.32393,0.783648032088243
"69","FRO","Europe","Faeroe Islands",53117,28,40895,76.99,40.07,52.71382,0.769904173804997
"70","FSM","Oceania","Micronesia (country)",114178,61,-Inf,-Inf,-Inf,53.42535,-Inf
"71","GAB","Africa","Gabon",2388997,306,257378,10.77,0.11,12.80872,0.107734752283071
"72","GBR","Europe","United Kingdom",67508936,213503,50762968,75.19,59.81,316.25887,0.751944424068541
"73","GEO","Asia","Georgia",3744385,16899,1276173,34.08,2.16,451.31577,0.340823125827072
"74","GGY","Europe","Guernsey",63329,0,52710,83.23,109.49,0,0.832320106112523
"75","GHA","Africa","Ghana",33475870,1461,9183560,27.43,8.2,4.36434,0.274333721573181
"76","GIB","Europe","Gibraltar",32677,111,41465,126.89,150.47,339.68847,1.26893533678122
"77","GIN","Africa","Guinea",13859349,466,3293736,23.77,1.62,3.36235,0.237654452600912
"78","GMB","Africa","Gambia",2705995,372,454249,16.79,1.15,13.74725,0.167867642031859
"79","GNB","Africa","Guinea-Bissau",2105580,176,404228,19.2,0.04,8.35874,0.191979407099232
"80","GNQ","Africa","Equatorial Guinea",1674916,183,214032,12.78,0.27,10.92592,0.127786706915451
"81","GRC","Europe","Greece",10384972,34779,7643164,73.6,67.88,334.89739,0.735983110979981
"82","GRD","North America","Grenada",125459,238,38975,31.07,5.86,189.70341,0.310659259200217
"83","GRL","North America","Greenland",56494,22,38511,68.17,-Inf,38.94219,0.681683010585195
"84","GTM","North America","Guatemala",17843914,20036,7032566,39.41,22.88,112.28478,0.394115663189141
"85","GUM","Oceania","Guam",171783,0,-Inf,-Inf,-Inf,0,-Inf
"86","GUY","South America","Guyana",808727,1291,380118,47,9.91,159.6336,0.470020167497808
"87","HKG","Asia","Hong Kong",7488863,12548,6789777,90.66,90.29,167.55548,0.906649914679972
"88","HND","North America","Honduras",10432858,11182,5765185,55.26,44.45,107.1806,0.552598818080338
"89","HRV","Europe","Croatia",4030361,17729,2250654,55.84,14.76,439.88615,0.558424915286745
"90","HTI","North America","Haiti",11585003,861,238246,2.06,-Inf,7.43202,0.0205650356758647
"91","HUN","Europe","Hungary",9967304,48578,6207249,62.28,43.31,487.37352,0.622761079625945
"92","IDN","Asia","Indonesia",275501344,160705,174799346,63.45,24.91,58.33184,0.634477289519139
"93","IMN","Europe","Isle of Man",84534,116,67106,79.38,63.08,137.22289,0.793834433482386
"94","IND","Asia","India",1417173120,523350,951298697,67.13,15.73,36.92915,0.671264987724294
"95","IRL","Europe","Ireland",5023108,8407,4057976,80.79,63.2,167.3665,0.807861586890029
"96","IRN","Asia","Iran",88550568,144720,58514580,66.08,35.17,163.43204,0.660804118162178
"97","IRQ","Asia","Iraq",44496124,25375,7944775,17.85,0.62,57.02744,0.178549821552996
"98","ISL","Europe","Iceland",372903,197,290193,77.82,67.19,52.82875,0.778199692681475
"99","ISR","Asia","Israel",9449000,12121,6157924,65.17,60.76,128.27812,0.651701132394962
"100","ITA","Europe","Italy",59037472,185448,47975270,81.26,78.19,314.11914,0.812624056802432
"101","JAM","North America","Jamaica",2827382,3465,744643,26.34,1.61,122.55153,0.263368373994034
"102","JEY","Europe","Jersey",110796,0,81847,73.87,66.46,0,0.738718004260082
"103","JOR","Asia","Jordan",11285875,14122,4558313,40.39,6.04,125.12986,0.403895400223731
"104","JPN","Asia","Japan",123951696,60810,103174999,83.24,133.87,49.05943,0.832380696106006
"105","KAZ","Asia","Kazakhstan",19397998,19343,10613754,54.72,12.96,99.71648,0.547157186014763
"106","KEN","Africa","Kenya",54027484,5688,10832419,20.05,3.25,10.52797,0.200498305640144
"107","KGZ","Asia","Kyrgyzstan",6630621,3434,1363003,20.56,-Inf,51.79002,0.205561892317477
"108","KHM","Asia","Cambodia",16767851,3056,14607080,87.11,62.17,18.22535,0.871136080586594
"109","KIR","Oceania","Kiribati",131237,17,73888,56.3,17.84,12.95366,0.563011955469875
"110","KNA","North America","Saint Kitts and Nevis",47681,46,27000,56.63,7.35,96.47449,0.566263291457813
"111","KOR","Asia","South Korea",51815808,32821,44447521,85.78,79.76,63.34167,0.857798473392521
"112","KWT","Asia","Kuwait",4268886,2570,3343911,78.33,34.14,60.20306,0.783321690951691
"113","LAO","Asia","Laos",7529477,759,5222417,69.36,-Inf,10.08038,0.693596248451254
"114","LBN","Asia","Lebanon",5489744,10757,2414223,43.98,12.03,195.94721,0.439769686892504
"115","LBR","Africa","Liberia",5302690,294,3730967,70.36,0.04,5.54436,0.703598928091214
"116","LBY","Africa","Libya",6812344,6440,1229888,18.05,2.61,94.53427,0.180538152506685
"117","LCA","North America","Saint Lucia",179872,409,54971,30.56,4.37,227.38392,0.305611768368618
"118","LIE","Europe","Liechtenstein",39355,89,26458,67.23,55.71,226.14661,0.672290687333249
"119","LKA","Asia","Sri Lanka",21832150,16821,14752827,67.57,37.65,77.04692,0.675738624001759
"120","LSO","Africa","Lesotho",2305826,723,925976,40.16,5.98,31.35536,0.401581038638648
"121","LTU","Europe","Lithuania",2750058,9525,1879946,68.36,34.31,346.35633,0.683602309478564
"122","LUX","Europe","Luxembourg",647601,1202,462574,71.43,70.5,185.60811,0.71428858201269
"123","LVA","Europe","Latvia",1850654,6195,1305976,70.57,28.61,334.74653,0.705683504317933
"124","MAC","Asia","Macao",695180,159,639505,91.99,68.28,22.87177,0.919912828332231
"125","MAR","Africa","Morocco",37457976,16295,23515876,62.78,18.48,43.50208,0.627793557238651
"126","MCO","Europe","Monaco",36491,68,25667,70.34,29.04,186.34732,0.70337891534899
"127","MDA","Europe","Moldova",3272993,11356,1073914,32.81,11.89,346.96072,0.328113747875416
"128","MDG","Africa","Madagascar",29611718,1418,1981152,6.69,0.37,4.78864,0.0669043248351886
"129","MDV","Asia","Maldives",523798,311,385081,73.52,31.92,59.37403,0.735170810121459
"130","MEX","North America","Mexico",127504120,324313,82652919,64.82,44.73,254.35492,0.648237241275027
"131","MHL","Oceania","Marshall Islands",41593,17,-Inf,-Inf,-Inf,40.87226,-Inf
"132","MKD","Europe","North Macedonia",2093606,9624,838048,40.03,7.72,459.68535,0.400289261685341
"133","MLI","Africa","Mali",22593598,743,2593973,11.48,-Inf,3.28854,0.114810089123476
"134","MLT","Europe","Malta",533293,824,471348,88.38,86.69,154.51168,0.883844340728268
"135","MMR","Asia","Myanmar",54179312,19491,27545329,50.84,4.11,35.97499,0.508410461173815
"136","MNE","Europe","Montenegro",627082,2794,284869,45.43,16.19,445.55576,0.454277112084225
"137","MNG","Asia","Mongolia",3398373,2136,2175617,64.02,30.73,62.85361,0.640193704457986
"138","MNP","Oceania","Northern Mariana Islands",49574,0,-Inf,-Inf,-Inf,0,-Inf
"139","MOZ","Africa","Mozambique",32969520,2267,18448526,55.96,3.01,6.87605,0.559563075228271
"140","MRT","Africa","Mauritania",4736146,997,1531866,32.34,8,21.05087,0.323441464853491
"141","MSR","North America","Montserrat",4413,9,1952,44.23,12.76,203.9429,0.442329481078631
"142","MUS","Africa","Mauritius",1299478,1042,1088142,83.74,49.2,80.18604,0.837368543368953
"143","MWI","Africa","Malawi",20405318,2896,3685148,18.06,8.86,14.19238,0.18059743053257
"144","MYS","Asia","Malaysia",33938216,36923,27534415,81.13,50.02,108.79476,0.811310028788785
"145","NAM","Africa","Namibia",2567024,4083,526072,20.49,3.98,159.05578,0.204934585730402
"146","NCL","Oceania","New Caledonia",289959,314,184645,63.68,34.93,108.29117,0.636796926462017
"147","NER","Africa","Niger",26207982,315,5308074,20.25,-Inf,1.20192,0.202536540203668
"148","NGA","Africa","Nigeria",218541216,3160,59867077,27.39,3.8,1.44595,0.273939525439448
"149","NIC","North America","Nicaragua",6948395,246,5955122,85.71,-Inf,3.54039,0.857050009390658
"150","NIU","Oceania","Niue",1952,0,1634,83.71,62.7,0,0.837090163934426
"151","NLD","Europe","Netherlands",17564020,23103,11957652,68.08,53.62,131.53595,0.680803825092433
"152","NOR","Europe","Norway",5434324,4518,4054726,74.61,68.89,83.13822,0.746132545648732
"153","NPL","Asia","Nepal",30547586,12020,24057021,78.75,28.98,39.34844,0.787526091259715
"154","NRU","Oceania","Nauru",12691,1,8585,67.65,39.91,7.8796,0.676463635647309
"155","NZL","Oceania","New Zealand",5185289,2410,4138926,79.82,67.96,46.47764,0.798205461643507
"156","OMN","Asia","Oman",4576300,4260,3048826,66.62,17.04,93.0883,0.666220746017525
"157","OWID_AFR",NA,"Africa",1426736614,257574,393185183,27.56,4.5,18.05337,0.275583579437038
"158","OWID_ASI",NA,"Asia",4721383370,1516165,3412532228,72.28,37.16,32.11273,0.722782278110155
"159","OWID_CYN","Asia","Northern Cyprus",382836,0,313067,81.78,20.96,0,0.817757473173892
"160","OWID_ENG","Europe","England",56550000,0,42887958,75.84,112.72,0,0.75840774535809
"161","OWID_EUN",NA,"European Union",450146793,1199154,328171424,72.9,61.55,266.39177,0.729032016007276
"162","OWID_EUR",NA,"Europe",744807803,2009029,498709536,66.96,47.63,269.73791,0.669581513500873
"163","OWID_HIC",NA,"High income",1250514600,2795260,933520534,74.65,65.02,223.52878,0.746509104331929
"164","OWID_INT",NA,"International",-Inf,15,-Inf,-Inf,-Inf,0,NA
"165","OWID_KOS","Europe","Kosovo",1782115,3202,824992,46.29,5.92,179.67415,0.46292859888391
"166","OWID_LIC",NA,"Low income",737604900,48053,158902828,21.54,1.9,6.51473,0.215430819399383
"167","OWID_LMC",NA,"Lower middle income",3432097300,1337597,1983660394,57.8,18.19,38.97317,0.577973239278502
"168","OWID_NAM",NA,"North America",600323657,1552640,393206251,65.5,41.16,258.63382,0.654990431269977
"169","OWID_NIR","Europe","Northern Ireland",1896000,0,1359918,71.73,55.19,0,0.717256329113924
"170","OWID_OCE",NA,"Oceania",45038860,22315,27873584,61.89,53.01,49.5461,0.618878541774814
"171","OWID_SAM",NA,"South America",436816679,1319172,338669201,77.53,56.45,301.99671,0.77531197246248
"172","OWID_SCT","Europe","Scotland",5466000,0,4285946,78.41,65.77,0,0.784110135382364
"173","OWID_UMC",NA,"Upper middle income",2525921300,2495910,1988056892,78.71,49.08,98.81187,0.78706208780139
"174","OWID_WLS","Europe","Wales",3170000,0,2471850,77.98,65.48,0,0.779763406940063
"175","OWID_WRL",NA,"World",7975105024,6676910,5064175983,63.5,33.74,83.72191,0.634998030466063
"176","PAK","Asia","Pakistan",235824864,30639,131368973,55.71,21.01,12.99227,0.55706158702587
"177","PAN","North America","Panama",4408582,8584,3164398,71.78,45.64,194.71113,0.717781363712867
"178","PCN","Oceania","Pitcairn",47,0,47,100,48.94,0,1
"179","PER","South America","Peru",34049588,219241,28442302,83.53,82.57,643.88738,0.835320004459378
"180","PHL","Asia","Philippines",115559008,65517,73920177,63.97,18.45,56.69571,0.639674727910437
"181","PLW","Oceania","Palau",18084,9,-Inf,-Inf,-Inf,49.76775,-Inf
"182","PNG","Oceania","Papua New Guinea",10142625,669,309599,3.05,0.32,6.59593,0.0305245436955423
"183","POL","Europe","Poland",39857144,118615,22631244,56.78,38.17,297.60035,0.567808972966051
"184","PRI","North America","Puerto Rico",3252412,0,-Inf,-Inf,-Inf,0,-Inf
"185","PRK","Asia","North Korea",26069416,6,-Inf,-Inf,-Inf,0.02302,-Inf
"186","PRT","Europe","Portugal",10270857,25805,8884382,86.5,68.32,251.24486,0.86500883032448
"187","PRY","South America","Paraguay",6780745,19716,3534312,52.12,29.39,290.76451,0.521227682208961
"188","PSE","Asia","Palestine",5250076,5708,1776973,33.85,6.42,108.72224,0.338466147918621
"189","PYF","Oceania","French Polynesia",306292,649,186059,60.75,36.64,211.88931,0.60745628354642
"190","QAT","Asia","Qatar",2695131,685,2850786,105.78,70.58,25.4162,1.0577541499838
"191","ROU","Europe","Romania",19659270,67460,8114769,41.28,-Inf,343.14601,0.412770616609874
"192","RUS","Europe","Russia",144713312,386283,79032406,54.61,13.56,266.92983,0.546130863206282
"193","RWA","Africa","Rwanda",13776702,1468,9274948,67.32,42.67,10.65567,0.673234276244053
"194","SAU","Asia","Saudi Arabia",36408824,9537,25351683,69.63,29.65,26.1942,0.696306010872529
"195","SDN","Africa","Sudan",46874200,4995,8302878,17.71,1.97,10.65618,0.177131087037219
"196","SEN","Africa","Senegal",17316452,1993,1356436,7.83,3.56,11.50929,0.0783322126264664
"197","SGP","Asia","Singapore",5637022,1717,5119159,90.81,78.77,30.45935,0.908131811442283
"198","SHN","Africa","Saint Helena",5401,0,3531,65.38,-Inf,0,0.653767820773931
"199","SLB","Oceania","Solomon Islands",724272,154,254352,35.12,3.84,21.26273,0.351182980979521
"200","SLE","Africa","Sierra Leone",8605723,126,3445251,40.03,4.03,1.46414,0.400344166318158
"201","SLV","North America","El Salvador",6336393,4230,4344286,68.56,36.18,66.75722,0.68560867357817
"202","SMR","Europe","San Marino",33690,121,23633,70.15,57.43,359.15702,0.701484119916889
"203","SOM","Africa","Somalia",17597508,1362,6529808,37.11,-Inf,7.73973,0.371064357521531
"204","SPM","North America","Saint Pierre and Miquelon",5885,2,-Inf,-Inf,-Inf,33.98471,-Inf
"205","SRB","Europe","Serbia",6871547,17580,3278198,47.71,27.69,255.83759,0.477068409777303
"206","SSD","Africa","South Sudan",10913172,138,2210238,20.25,-Inf,1.26453,0.202529383757536
"207","STP","Africa","Sao Tome and Principe",227393,81,103623,45.57,14.38,35.62115,0.45570004353696
"208","SUR","South America","Suriname",618046,1398,237879,38.49,7.91,226.19676,0.384888827045236
"209","SVK","Europe","Slovakia",5643455,20859,2577827,45.68,12.12,369.614,0.456781705533224
"210","SVN","Europe","Slovenia",2119843,7040,1222225,57.66,31.04,332.10007,0.576563924781222
"211","SWE","Europe","Sweden",10549349,22398,7632713,72.35,91.58,212.31642,0.723524551135809
"212","SWZ","Africa","Eswatini",1201680,1422,490673,40.83,12.28,118.33433,0.408322515145463
"213","SXM","North America","Sint Maarten (Dutch part)",44192,0,26658,60.32,20.52,0,0.603231354091238
"214","SYC","Africa","Seychelles",107135,172,81661,76.22,41.73,160.54511,0.762225229850189
"215","SYR","Asia","Syria",22125242,3163,2226318,10.06,0.34,14.29589,0.100623441768456
"216","TCA","North America","Turks and Caicos Islands",45726,36,30710,67.16,16.28,78.72983,0.671609150155273
"217","TCD","Africa","Chad",17723312,194,3625087,20.45,-Inf,1.0946,0.204537786165475
"218","TGO","Africa","Togo",8848700,290,1456018,16.45,4.83,3.27732,0.164545978505317
"219","THA","Asia","Thailand",71697024,34743,53486086,74.6,44.83,48.45808,0.74600147978248
"220","TJK","Asia","Tajikistan",9952789,125,5170582,51.95,52.26,1.25593,0.519510862734054
"221","TKL","Oceania","Tokelau",1893,0,2203,116.38,51.14,0,1.16376122556788
"222","TKM","Asia","Turkmenistan",6430777,0,3689000,57.36,51.94,0,0.57364763231566
"223","TLS","Asia","Timor",1341298,138,790466,58.93,23.5,10.28854,0.589329142368064
"224","TON","Oceania","Tonga",106867,12,77464,72.49,35.87,11.22891,0.724863615522098
"225","TTO","North America","Trinidad and Tobago",1531043,4297,716898,46.82,11.01,280.65835,0.468241584331727
"226","TUN","Africa","Tunisia",12356116,29292,6398421,51.78,10.15,237.06479,0.517834325932194
"227","TUR","Asia","Turkey",85341248,101492,53176961,62.31,48.54,118.92491,0.623109718292378
"228","TUV","Oceania","Tuvalu",11335,0,9322,82.24,48.77,0,0.822408469342744
"229","TWN","Asia","Taiwan",23893396,15654,20627469,86.33,93.18,65.51601,0.86331256553066
"230","TZA","Africa","Tanzania",65497752,846,29270881,44.69,10.95,1.29165,0.4468990172365
"231","UGA","Africa","Uganda",47249588,3636,12961901,27.43,0.96,7.69531,0.274328339116946
"232","UKR","Europe","Ukraine",39701744,118790,15153577,38.17,1.87,299.206,0.381685424196982
"233","URY","South America","Uruguay",3422796,7586,2896924,84.64,85.63,221.63167,0.84636186322527
"234","USA","North America","United States",338289856,1099100,229254623,69.05,39.91,324.89889,0.677686956714422
"235","UZB","Asia","Uzbekistan",34627648,1637,17707137,51.14,42.51,4.72744,0.511358351569243
"236","VAT","Europe","Vatican",808,0,-Inf,-Inf,-Inf,0,-Inf
"237","VCT","North America","Saint Vincent and the Grenadines",103959,121,31588,30.39,4.08,116.39204,0.303850556469377
"238","VEN","South America","Venezuela",28301700,5840,14966671,52.88,2.3,20.6348,0.528825865584046
"239","VGB","North America","British Virgin Islands",31332,64,18261,58.28,11.89,204.26401,0.582822673305247
"240","VIR","North America","United States Virgin Islands",99479,0,-Inf,-Inf,-Inf,0,-Inf
"241","VNM","Asia","Vietnam",98186856,43190,85705657,87.29,58.5,43.98756,0.872883199356134
"242","VUT","Oceania","Vanuatu",326744,14,131697,40.31,5.2,4.2847,0.403058663663296
"243","WLF","Oceania","Wallis and Futuna",11596,7,6794,58.59,32.27,60.36564,0.585891686788548
"244","WSM","Oceania","Samoa",222390,29,177721,79.91,35.69,13.04015,0.799141148432933
"245","YEM","Asia","Yemen",33696612,2159,761003,2.26,0.18,6.40717,0.0225839618534944
"246","ZAF","Africa","South Africa",59893884,102245,21031216,35.11,6.47,170.71025,0.351141295161289
"247","ZMB","Africa","Zambia",20017670,4031,8622108,43.07,0.17,20.13721,0.430724854590969
"248","ZWE","Africa","Zimbabwe",16320539,5637,4751270,29.11,6.33,34.5393,0.291122125317062
